Viltrox ,Full Frame,Viltrox AF 50mm f/1.8 FE. Full Frame para Sony, $375,00 
Viltrox ,APS-C,Viltrox AF 33mm f/1.4 E. APS-C para Sony, $285,00 
Viltrox ,APS-C,Viltrox AF 56mm f/1.4 E. APS-C para Sony, $299,00 
Tamron ,Full Frame,Tamron 17-50mm F/4 Di III VXD para Sony, $769,01 
Sigma ,Full Frame,Sigma 35mm f1.4 DG DN Art Full Frame para Sony E, $998,99 
Sigma ,APS-C,Sigma 30mm f1.4 DC DN Contemporary APS-C para Sony E, $375,00 
Sigma ,APS-C,Sigma 16mm f1.4 DC DN Contemporary APS-C para Sony E, $475,00 
Tokina ,Full Frame,Tokina SZX SUPER TELE 400mm F8 Reflex MF, Full Frame, para Sony, $279,00 
Tokina ,APS-C,Tokina ATX-M 56mm F1.4 E, APS-C, para Sony E, $480,00 
Tokina ,APS-C,Tokina ATX-M 33mm F1.4 E, APS-C, para Sony E, $399,00 
Tokina ,APS-C,Tokina ATX-M 23mm F1.4 E PLUS, APS-C, para Sony E, $369,00 
Yongnuo ,Full Frame,Yongnuo YN85mm F1.8S DF DSM para Sony Full Frame montura E, $375,00 
Tokina ,Full Frame,Tokina ATX-M 85mm F1.8 FE, Full Frame, para Sony E, $419,00 
Yongnuo ,APS-C,Yongnuo YN50mm F1.8S DA DSM II para Sony APS-C montura E, $163,25 
Tokina ,Full Frame,Tokina Fírin 100mm F2.8 FE Macro, Autofocus, para Sony E, $448,99 
Sigma ,APS-C,Sigma 56mm f1.4 DC DN Contemporary APS-C para Sony E, $500,00 
Sigma ,Full Frame,Sigma 24mm f1.4 DG HSM Art Full Frame para Sony E, $939,00 
Sigma ,APS-C,Sigma 18-50mm f/2.8 DC DN Contemporary APS-C para Sony E, $649,00 
Sigma ,Full Frame,Sigma 28-70mm f/2.8 DG DN Contemporary Full Frame para Sony E, $998,99 
Yongnuo ,Full Frame,Yongnuo YN35mm F2S DF DSM para Sony, $319,00 
Sigma ,Full Frame,Sigma 100-400mm f/5-6.3 DG DN OS, Contemporáneo para Sony E, $998,99 
Yongnuo ,Full Frame,Yongnuo YN50mm f/1.8s DF DSM para Sony E, $370,00 
Tamron ,APS-C,Tamron 18-300mm F/3.5-6.3 Di III-A VC VXD para Sony E, $755,00 
Tamron ,APS-C,Tamron AF 18-200mm F/3.5-6.3 Di III VC para Sony E, $431,00 
Tamron ,Full Frame,Tamron 28-75mm F/2.8 Di III VXD G2 para Sony E, $949,00 
Tamron ,Full Frame,Tamron 70-180mm F/2.8 Di III VC VXD G2 para Sony E, $1.335,00 
Tamron ,Full Frame,Tamron 70-300mm F//4.5-6.3 Di III RXD para Sony E, $535,00 
Tamron ,Full Frame,Tamron 17-28mm F/2.8 Di III RXD para Sony E, $899,00 
Tamron ,Full Frame,Tamron 28-200mm f/2.8-5.6 Di III RXD para Sony E, $799,00 
Sigma ,Full Frame,Sigma 35mm f/2 DG DN Contemporary para Sony E, $669,00 
Sigma ,Full Frame,Sigma 105mm f/2.8 DG DN Macro Art para Sony E, $870,00 
Tamron ,APS-C,Tamron 17-70mm f/2.8 Di III-A VC RXD para Sony E, $769,01 
Tamron ,Full Frame,Tamron 35-150mm f/2-2.8 Di III VXD para Sony E, $1.999,00 
Tamron ,APS-C,Tamron 11-20mm f/2.8 Di III-A RXD para Sony E, $750,00 
Tamron ,Full Frame,Tamron 20mm f/2.8 Di III OSD M 1:2 para Sony E, $279,00 
Tamron ,Full Frame,Tamron 24mm f/2.8 Di III OSD M 1:2 para Sony E, $229,00 
Tamron ,Full Frame,Tamron 35mm f/2.8 Di III OSD M 1:2 para Sony E, $229,00 
Yongnuo ,APS-C,Yongnuo YN16mm F1.8S DA DSM para Sony E, $287,99 
Tokina ,APS-C,Tokina SZ 8mm F2.8 E Fisheye MF para Sony E, $299,00 
Tokina ,APS-C,Tokina ATX-M 11-18mm F2.8 E para Sony E, $599,00 
Tamron ,Full Frame,Tamron AF 150-500mm f/5-6.7 Di III VC VXD para Sony E, $1.399,00 
Tamron ,Full Frame,Tamron AF 50-400mm f/4.5-6.3 Di III VC VXD para Sony E, $1.399,00 
Tamron ,Full Frame,Tamron AF 20-40mm f/2.8 Di III VXD para Sony E, $799,00 
Viltrox ,APS-C,Viltrox AF 75mm f/1.2 E, APS-C para Sony E, $580,00 
Viltrox ,Full Frame,Viltrox AF 85mm f/1.8 Mark II FE, Full Frame, para Sony E, $399,00 
Viltrox ,Full Frame,Viltrox AF 16mm f/1.8 FE, Full Frame, para Sony E, $580,00 
